Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed
562,"562.57312","Escherichia coli strain 24742_1#376","ciprofloxacin","Susceptible",,,,,"Broth dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"30550564"
562,"562.42731","Escherichia coli strain 377","ciprofloxacin","Resistant","4",">=","4","mg/L","Broth dilution",,"VITEK 2","BioMerieux","CLSI",,,,,"Laboratory Method",,
562,"562.23122","Escherichia coli O2:H7 strain ECO0777","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,,,,,,"Laboratory Method",,"28720578"
562,"562.23059","Escherichia coli O6:H31 strain ECO0693","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,,,,,,"Laboratory Method",,"28720578"
562,"562.100351","Escherichia coli 250df684-7bb9-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.98489","Escherichia coli 7ce8315e-7bb8-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,,,,,,"Laboratory Method",,
562,"562.99653","Escherichia coli e09119d6-7bb9-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.23325","Escherichia coli O75:H7 strain ECO0978","ciprofloxacin","Susceptible","0.015",,"0.015","mg/L","MIC",,,,,,,,,"Laboratory Method",,"38219757"
562,"562.7771","Escherichia coli strain 500858_aEPEC","ciprofloxacin","Resistant",,,,,"Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"30127495"
562,"562.59226","Escherichia coli strain PBIO1946","ciprofloxacin","Resistant",,,,,"Broth dilution",,"VITEK 2","BioMerieux","CLSI",2008,,,,"Laboratory Method",,"32066506"
562,"562.22865","Escherichia coli O34:H9 strain ECO0483","ciprofloxacin","Resistant","256",,"256","mg/L","MIC",,,,,,,,,"Laboratory Method",,"38219757"
562,"562.98954","Escherichia coli 8740b314-7bb9-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,,,,,,"Laboratory Method",,
562,"562.45638","Escherichia coli strain EC_46","ciprofloxacin","Susceptible","27",,"27","mm","Disk diffusion",,,"Hardy Diagnostics","CLSI",2018,,,,"Laboratory Method",,"32010104"
562,"562.23867","Escherichia coli O2:H4 strain ECO0298","ciprofloxacin","Susceptible",,,,,"Broth dilution",,"VITEK 2","BioMerieux",,,,,,"Laboratory Method",,"28720578"
562,"562.100513","Escherichia coli be265294-7bb9-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.96728","Escherichia coli VREC0867","ciprofloxacin","Resistant",">=4",">=","4","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"34485958"
562,"562.97982","Escherichia coli d22adcd4-7bb8-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,"E-test",,,,,,,"Laboratory Method",,
562,"562.99652","Escherichia coli e1652be0-7bb9-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.23187","Escherichia coli O6:H1 strain ECO0808","ciprofloxacin","Susceptible","0.015",,"0.015","mg/L","MIC",,,,,,,,,"Laboratory Method",,"38219757"
562,"562.45629","Escherichia coli strain EC_51","ciprofloxacin","Resistant","6",,"6","mm","Disk diffusion",,,"Hardy Diagnostics","CLSI",2018,,,,"Laboratory Method",,"32010104"
562,"562.22684","Escherichia coli O6:H1 strain ECO0273","ciprofloxacin","Susceptible",,,,,"Broth dilution",,"VITEK 2","BioMerieux",,,,,,"Laboratory Method",,"28720578"
562,"562.23523","Escherichia coli O6:H1 strain ECO1208","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,,,,,,"Laboratory Method",,"28720578"
562,"562.99273","Escherichia coli 8761c30c-7bb8-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.100895","Escherichia coli bc6b1dd6-7bb9-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.23405","Escherichia coli O25:H4 strain ECO1171","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,,,,,,"Laboratory Method",,"28720578"
562,"562.97012","Escherichia coli VREC1120","ciprofloxacin","Susceptible","<=0.25","<=","0.25","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"34485958"
562,"562.99719","Escherichia coli 7954b110-7bb9-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.96731","Escherichia coli VRES0876","ciprofloxacin","Susceptible","<=0.25","<=","0.25","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"34485958"
562,"562.23864","Escherichia coli O1:H7 strain ECO0715","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,,,,,,"Laboratory Method",,"28720578"
562,"562.22948","Escherichia coli O1:H7 strain ECO0560","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,,,,,,"Laboratory Method",,"28720578"
562,"562.23123","Escherichia coli O1:H7 strain ECO0773","ciprofloxacin","Susceptible","<=0.008","<=","0.008","mg/L","MIC",,,,,,,,,"Laboratory Method",,"38219757"
562,"562.23111","Escherichia coli O2:H7 strain ECO0758","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,,,,,,"Laboratory Method",,"28720578"
562,"562.96806","Escherichia coli VREC0950","ciprofloxacin","Susceptible","<=0.25","<=","0.25","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"34485958"
562,"562.57392","Escherichia coli strain W1_5_ERB1","ciprofloxacin","Susceptible",,,,,"Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"28877757;30550564"
562,"562.99224","Escherichia coli a37a9054-7bb9-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.98856","Escherichia coli df2bac9c-7bb8-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,,,,,,"Laboratory Method",,
562,"562.23266","Escherichia coli O6:H1 strain ECO0901","ciprofloxacin","Susceptible","0.015",,"0.015","mg/L","MIC",,,,,,,,,"Laboratory Method",,"38219757"
562,"562.7678","Escherichia coli strain R402077","ciprofloxacin","Susceptible",,,,,"Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"30127495"
562,"562.98405","Escherichia coli 1491aad0-7bb9-11e9-a8d3-68b59976a384","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,,,,,,,"Laboratory Method",,
562,"562.23091","Escherichia coli O6:H1 strain ECO0732","ciprofloxacin","Susceptible","0.015",,"0.015","mg/L","MIC",,,,,,,,,"Laboratory Method",,"38219757"
562,"562.97196","Escherichia coli VREC1343","ciprofloxacin","Susceptible","<=0.25","<=","0.25","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"34485958"
562,"562.98281","Escherichia coli 9991825a-7bb9-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,,,,,,"Laboratory Method",,
562,"562.98925","Escherichia coli ac886c58-7bb8-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,,,,,,"Laboratory Method",,
562,"562.97036","Escherichia coli VREC1162","ciprofloxacin","Susceptible","<=0.25","<=","0.25","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"34485958"
562,"562.99226","Escherichia coli a43501c8-7bb9-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.98004","Escherichia coli 9b09c080-7bb8-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,"E-test",,,,,,,"Laboratory Method",,
562,"562.23545","Escherichia coli O4:H1 strain ECO1229","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,,,,,,"Laboratory Method",,"28720578"
562,"562.97334","Escherichia coli VREC1463","ciprofloxacin","Susceptible","<=0.25","<=","0.25","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"34485958"
562,"562.100072","Escherichia coli 1b33ca76-7bb9-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.98401","Escherichia coli 93abc37e-7bb8-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,,,,,,"Laboratory Method",,
562,"562.99077","Escherichia coli 3c4f06f8-7bb9-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.23164","Escherichia coli O1:H7 strain ECO0856","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,,,,,,"Laboratory Method",,"28720578"
562,"562.99812","Escherichia coli 3c9f25e8-7bb9-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.98538","Escherichia coli a8e6ab8c-7bb8-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,,,,,,"Laboratory Method",,
562,"562.31465","Escherichia coli strain KCRI-163A strain RDK01_163A","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,"CLSI",2013,,,,"Laboratory Method",,"29977533"
562,"562.97395","Escherichia coli VREC1508","ciprofloxacin","Resistant",">=4",">=","4","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"34485958"
562,"562.23472","Escherichia coli NA:H2 strain ECO1038","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,,,,,,"Laboratory Method",,"28720578"
562,"562.57473","Escherichia coli strain PB13","ciprofloxacin","Resistant",,,,,"Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"28877757;30550564"
562,"562.22598","Escherichia coli O75:H7 strain ECO0174","ciprofloxacin","Susceptible",,,,,"Broth dilution",,"VITEK 2","BioMerieux",,,,,,"Laboratory Method",,"28720578"
562,"562.100378","Escherichia coli 3d440a22-7bb9-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.99346","Escherichia coli 937d0286-7bb9-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
